Name,Date,Open,High,Low,Close,Volume,Market_Cap,Month_Year,Spread
bitcoin,2013-04-28,135.3,135.98,132.1,134.21,0.0,1488566728.0,2013-04,3.88
bitcoin,2013-04-29,134.44,147.49,134.0,144.54,0.0,1603768865.0,2013-04,13.49
bitcoin,2013-04-30,144.0,146.93,134.05,139.0,0.0,1542813125.0,2013-04,12.88
bitcoin,2013-05-01,139.0,139.89,107.72,116.99,0.0,1298954594.0,2013-05,32.17
bitcoin,2013-05-02,116.38,125.6,92.28,105.21,0.0,1168517495.0,2013-05,33.32
bitcoin,2013-05-03,106.25,108.13,79.1,97.75,0.0,1085995169.0,2013-05,29.03
bitcoin,2013-05-04,98.1,115.0,92.5,112.5,0.0,1250316563.0,2013-05,22.5
bitcoin,2013-05-05,112.9,118.8,107.14,115.91,0.0,1288693176.0,2013-05,11.66
bitcoin,2013-05-06,115.98,124.66,106.64,112.3,0.0,1249023060.0,2013-05,18.02
bitcoin,2013-05-07,112.25,113.44,97.7,111.5,0.0,1240593600.0,2013-05,15.74
bitcoin,2013-05-08,109.6,115.78,109.6,113.57,0.0,1264049202.0,2013-05,6.18
bitcoin,2013-05-09,113.2,113.46,109.26,112.67,0.0,1254535382.0,2013-05,4.2
bitcoin,2013-05-10,112.8,122.0,111.55,117.2,0.0,1305479080.0,2013-05,10.45
bitcoin,2013-05-11,117.7,118.68,113.01,115.24,0.0,1284207489.0,2013-05,5.67
bitcoin,2013-05-12,115.64,117.45,113.43,115.0,0.0,1281982625.0,2013-05,4.02
bitcoin,2013-05-13,114.82,118.7,114.5,117.98,0.0,1315710011.0,2013-05,4.2
bitcoin,2013-05-14,117.98,119.8,110.25,111.5,0.0,1243874488.0,2013-05,9.55
bitcoin,2013-05-15,111.4,115.81,103.5,114.22,0.0,1274623813.0,2013-05,12.31
bitcoin,2013-05-16,114.22,118.76,112.2,118.76,0.0,1325726787.0,2013-05,6.56
bitcoin,2013-05-17,118.21,125.3,116.57,123.01,0.0,1373723882.0,2013-05,8.73
bitcoin,2013-05-18,123.5,125.25,122.3,123.5,0.0,1379574546.0,2013-05,2.95
bitcoin,2013-05-19,123.21,124.5,119.57,121.99,0.0,1363204703.0,2013-05,4.93
bitcoin,2013-05-20,122.5,123.62,120.12,122.0,0.0,1363709900.0,2013-05,3.5
bitcoin,2013-05-21,122.02,123.0,121.21,122.88,0.0,1374013440.0,2013-05,1.79
bitcoin,2013-05-22,122.89,124.0,122.0,123.89,0.0,1385778993.0,2013-05,2.0
bitcoin,2013-05-23,123.8,126.93,123.1,126.7,0.0,1417769833.0,2013-05,3.83
bitcoin,2013-05-24,126.3,133.85,125.72,133.2,0.0,1491070770.0,2013-05,8.13
bitcoin,2013-05-25,133.1,133.22,128.9,131.98,0.0,1477958233.0,2013-05,4.32
bitcoin,2013-05-26,131.99,136.0,130.62,133.48,0.0,1495293015.0,2013-05,5.38
bitcoin,2013-05-27,133.5,135.46,124.7,129.74,0.0,1454029510.0,2013-05,10.76
bitcoin,2013-05-28,129.77,130.58,125.6,129.0,0.0,1446189975.0,2013-05,4.98
bitcoin,2013-05-29,129.0,132.59,127.66,132.3,0.0,1483734578.0,2013-05,4.93
bitcoin,2013-05-30,132.25,132.25,127.0,128.8,0.0,1445053941.0,2013-05,5.25
bitcoin,2013-05-31,128.8,129.9,126.4,129.0,0.0,1447870200.0,2013-05,3.5
bitcoin,2013-06-01,128.82,129.78,127.2,129.3,0.0,1451916165.0,2013-06,2.58
bitcoin,2013-06-02,129.3,129.4,115.05,122.29,0.0,1373837500.0,2013-06,14.35
bitcoin,2013-06-03,122.5,122.5,116.0,122.22,0.0,1373708058.0,2013-06,6.5
bitcoin,2013-06-04,120.74,123.84,119.1,121.42,0.0,1365337545.0,2013-06,4.74
bitcoin,2013-06-05,121.4,123.47,119.9,121.65,0.0,1368486469.0,2013-06,3.57
bitcoin,2013-06-06,121.9,123.1,117.25,118.0,0.0,1327960200.0,2013-06,5.85
bitcoin,2013-06-07,118.97,119.0,106.42,111.5,0.0,1255258638.0,2013-06,12.58
bitcoin,2013-06-08,111.0,111.42,107.3,108.3,0.0,1219717920.0,2013-06,4.12
bitcoin,2013-06-09,107.89,108.99,88.5,100.0,0.0,1126642500.0,2013-06,20.49
bitcoin,2013-06-10,100.44,110.1,95.0,106.35,0.0,1198638945.0,2013-06,15.1
bitcoin,2013-06-11,106.35,109.6,104.0,108.9,0.0,1227874725.0,2013-06,5.6
bitcoin,2013-06-12,109.0,111.79,106.73,108.15,0.0,1219969853.0,2013-06,5.06
bitcoin,2013-06-13,108.78,110.3,100.53,104.0,0.0,1173637400.0,2013-06,9.77
bitcoin,2013-06-14,103.95,104.7,98.0,99.98,0.0,1128709292.0,2013-06,6.7
bitcoin,2013-06-15,100.0,103.7,98.0,99.99,0.0,1129245604.0,2013-06,5.7
bitcoin,2013-06-16,99.8,101.6,98.95,99.51,0.0,1124306272.0,2013-06,2.65
bitcoin,2013-06-17,99.9,102.21,99.0,101.7,0.0,1149418485.0,2013-06,3.21
bitcoin,2013-06-18,101.95,111.11,101.03,107.4,0.0,1214216070.0,2013-06,10.08
bitcoin,2013-06-19,107.05,110.22,105.75,108.25,0.0,1224193838.0,2013-06,4.47
bitcoin,2013-06-20,108.25,114.3,107.5,110.15,0.0,1246104920.0,2013-06,6.8
bitcoin,2013-06-21,111.29,114.99,107.68,109.5,0.0,1239214238.0,2013-06,7.31
bitcoin,2013-06-22,109.5,109.96,107.51,108.3,0.0,1226110328.0,2013-06,2.45
bitcoin,2013-06-23,108.2,108.8,106.23,107.6,0.0,1218626490.0,2013-06,2.57
bitcoin,2013-06-24,107.9,108.33,100.98,102.74,0.0,1163935726.0,2013-06,7.35
bitcoin,2013-06-25,102.09,106.47,101.01,103.95,0.0,1178086140.0,2013-06,5.46
bitcoin,2013-06-26,103.33,105.49,102.79,104.0,0.0,1179105200.0,2013-06,2.7
bitcoin,2013-06-27,104.0,104.0,101.1,101.44,0.0,1150468023.0,2013-06,2.9
bitcoin,2013-06-28,101.74,101.74,92.33,94.65,0.0,1073887457.0,2013-06,9.41
bitcoin,2013-06-29,94.66,99.99,93.0,94.99,0.0,1078198524.0,2013-06,6.99
bitcoin,2013-06-30,95.0,98.12,94.22,96.61,0.0,1096957771.0,2013-06,3.9
bitcoin,2013-07-01,97.51,97.66,86.3,88.05,0.0,1000065296.0,2013-07,11.36
bitcoin,2013-07-02,88.05,92.3,87.51,90.13,0.0,1024082228.0,2013-07,4.79
bitcoin,2013-07-03,90.4,90.98,76.98,77.53,0.0,881233116.0,2013-07,14.0
bitcoin,2013-07-04,78.89,83.11,72.0,80.53,0.0,915618609.0,2013-07,11.11
bitcoin,2013-07-05,79.99,80.0,65.53,68.43,0.0,778411179.0,2013-07,14.47
bitcoin,2013-07-06,68.5,75.0,66.82,70.28,0.0,799741619.0,2013-07,8.18
bitcoin,2013-07-07,68.75,74.56,66.62,74.56,0.0,848838979.0,2013-07,7.94
bitcoin,2013-07-08,76.5,80.0,72.6,76.52,0.0,871457940.0,2013-07,7.4
bitcoin,2013-07-09,76.0,78.3,72.52,76.69,0.0,873841849.0,2013-07,5.78
bitcoin,2013-07-10,76.72,87.0,76.2,86.76,0.0,988957719.0,2013-07,10.8
bitcoin,2013-07-11,88.0,90.28,85.08,88.98,0.0,1014650063.0,2013-07,5.2
bitcoin,2013-07-12,88.98,104.0,88.17,93.59,0.0,1067634684.0,2013-07,15.83
bitcoin,2013-07-13,93.99,98.25,88.06,98.13,0.0,1119796120.0,2013-07,10.19
bitcoin,2013-07-14,98.7,98.7,92.86,94.69,0.0,1080917760.0,2013-07,5.84
bitcoin,2013-07-15,93.61,101.9,93.11,98.4,0.0,1123658944.0,2013-07,8.79
bitcoin,2013-07-16,98.89,99.86,96.14,97.45,0.0,1113217032.0,2013-07,3.72
bitcoin,2013-07-17,96.71,99.97,96.18,98.5,0.0,1125658000.0,2013-07,3.79
bitcoin,2013-07-18,98.5,98.8,86.2,90.58,0.0,1035512825.0,2013-07,12.6
bitcoin,2013-07-19,90.07,95.2,87.8,92.17,0.0,1054083771.0,2013-07,7.4
bitcoin,2013-07-20,92.0,93.1,89.27,89.39,0.0,1022707665.0,2013-07,3.83
bitcoin,2013-07-21,89.82,91.95,88.0,90.76,0.0,1038798980.0,2013-07,3.95
bitcoin,2013-07-22,92.0,92.0,90.08,91.61,0.0,1048939081.0,2013-07,1.92
bitcoin,2013-07-23,91.6,96.82,91.6,95.56,0.0,1094484058.0,2013-07,5.22
bitcoin,2013-07-24,95.56,95.99,93.0,94.51,0.0,1082848325.0,2013-07,2.99
bitcoin,2013-07-25,94.5,97.33,93.87,96.9,0.0,1110587858.0,2013-07,3.46
bitcoin,2013-07-26,96.95,97.47,96.0,96.02,0.0,1100902800.0,2013-07,1.47
bitcoin,2013-07-27,96.02,97.0,93.0,94.12,0.0,1079491697.0,2013-07,4.0
bitcoin,2013-07-28,94.4,100.58,94.0,99.76,0.0,1144602838.0,2013-07,6.58
bitcoin,2013-07-29,98.6,102.5,98.46,101.2,0.0,1161619140.0,2013-07,4.04
bitcoin,2013-07-30,101.49,107.99,100.47,107.99,0.0,1240092366.0,2013-07,7.52
bitcoin,2013-07-31,107.95,111.34,103.88,106.09,0.0,1218777834.0,2013-07,7.46
bitcoin,2013-08-01,106.21,108.0,103.01,104.0,0.0,1195225200.0,2013-08,4.99
bitcoin,2013-08-02,104.86,108.0,101.21,104.5,0.0,1201487185.0,2013-08,6.79
bitcoin,2013-08-03,104.5,105.78,102.0,104.0,0.0,1196226508.0,2013-08,3.78
bitcoin,2013-08-04,104.95,105.95,103.52,105.14,0.0,1209797378.0,2013-08,2.43
bitcoin,2013-08-05,105.12,107.77,105.0,106.22,0.0,1222677176.0,2013-08,2.77
bitcoin,2013-08-06,106.72,107.38,105.56,106.75,0.0,1229098150.0,2013-08,1.82
bitcoin,2013-08-07,106.75,106.75,106.75,106.75,0.0,1229098150.0,2013-08,0.0
bitcoin,2013-08-08,106.75,106.75,101.26,103.0,0.0,1187105900.0,2013-08,5.49
bitcoin,2013-08-09,103.07,105.75,101.93,102.8,0.0,1185307130.0,2013-08,3.82
bitcoin,2013-08-10,102.8,103.9,102.41,103.0,0.0,1188153925.0,2013-08,1.49
bitcoin,2013-08-11,103.0,105.19,102.75,105.0,0.0,1211789250.0,2013-08,2.44
bitcoin,2013-08-12,105.0,108.0,103.5,106.64,0.0,1231248581.0,2013-08,4.5
bitcoin,2013-08-13,106.99,109.35,104.65,109.0,0.0,1259042650.0,2013-08,4.7
bitcoin,2013-08-14,109.56,115.0,108.0,112.56,0.0,1300656724.0,2013-08,7.0
bitcoin,2013-08-15,112.56,113.25,109.0,109.99,0.0,1271404657.0,2013-08,4.25
bitcoin,2013-08-16,110.0,112.3,108.52,108.99,0.0,1260352119.0,2013-08,3.78
bitcoin,2013-08-17,108.99,113.75,108.22,113.5,0.0,1312996375.0,2013-08,5.53
bitcoin,2013-08-18,112.75,114.69,112.0,113.5,0.0,1313544013.0,2013-08,2.69
bitcoin,2013-08-19,113.38,123.06,111.77,119.0,0.0,1377725475.0,2013-08,11.29
bitcoin,2013-08-20,119.0,123.01,117.51,121.21,0.0,1403829641.0,2013-08,5.5
bitcoin,2013-08-21,121.21,124.91,119.68,123.3,0.0,1428698678.0,2013-08,5.23
bitcoin,2013-08-22,123.3,123.5,120.6,121.15,0.0,1404437433.0,2013-08,2.9
bitcoin,2013-08-23,122.0,122.0,118.44,118.5,0.0,1374309422.0,2013-08,3.56
bitcoin,2013-08-24,118.51,121.39,118.02,120.04,0.0,1392768092.0,2013-08,3.37
bitcoin,2013-08-25,119.6,122.99,119.17,122.11,0.0,1417198897.0,2013-08,3.82
bitcoin,2013-08-26,122.11,122.75,119.93,120.06,0.0,1393847159.0,2013-08,2.82
bitcoin,2013-08-27,120.07,127.24,120.07,126.5,0.0,1469193138.0,2013-08,7.17
bitcoin,2013-08-28,126.48,127.32,122.62,122.62,0.0,1424675798.0,2013-08,4.7
bitcoin,2013-08-29,122.62,123.7,122.21,122.39,0.0,1422584866.0,2013-08,1.49
bitcoin,2013-08-30,122.35,135.75,120.99,133.49,0.0,1552288465.0,2013-08,14.76
bitcoin,2013-08-31,133.09,140.89,132.72,135.35,0.0,1574672051.0,2013-08,8.17
bitcoin,2013-09-01,135.14,145.81,134.81,138.34,0.0,1610215347.0,2013-09,11.0
bitcoin,2013-09-02,138.63,146.5,134.89,135.85,0.0,1581969854.0,2013-09,11.61
bitcoin,2013-09-03,135.61,138.34,133.0,136.77,0.0,1593346565.0,2013-09,5.34
bitcoin,2013-09-04,136.53,144.5,123.61,126.74,0.0,1477012118.0,2013-09,20.89
bitcoin,2013-09-05,126.76,131.44,121.83,126.43,0.0,1473965191.0,2013-09,9.61
bitcoin,2013-09-06,126.49,127.34,119.15,119.15,0.0,1389646450.0,2013-09,8.19
bitcoin,2013-09-07,118.89,125.94,118.46,124.15,0.0,1448411494.0,2013-09,7.48
bitcoin,2013-09-08,124.13,124.72,120.49,121.66,0.0,1419836072.0,2013-09,4.23
bitcoin,2013-09-09,121.86,129.06,119.75,127.11,0.0,1484085516.0,2013-09,9.31
bitcoin,2013-09-10,127.27,129.74,125.9,125.91,0.0,1470679164.0,2013-09,3.84
bitcoin,2013-09-11,125.89,137.83,123.27,135.25,0.0,1580450350.0,2013-09,14.56
bitcoin,2013-09-12,135.55,136.08,131.81,133.13,0.0,1556386219.0,2013-09,4.27
bitcoin,2013-09-13,132.83,137.58,132.27,134.98,0.0,1578699084.0,2013-09,5.31
bitcoin,2013-09-14,135.01,135.85,128.87,129.22,0.0,1512038756.0,2013-09,6.98
bitcoin,2013-09-15,129.4,131.44,128.26,130.37,0.0,1526085146.0,2013-09,3.18
bitcoin,2013-09-16,130.86,132.72,129.77,131.72,0.0,1542395098.0,2013-09,2.95
bitcoin,2013-09-17,131.59,132.76,124.89,131.66,0.0,1542278406.0,2013-09,7.87
bitcoin,2013-09-18,131.71,133.2,130.54,131.47,0.0,1540598328.0,2013-09,2.66
bitcoin,2013-09-19,131.37,131.77,128.45,129.65,0.0,1519883709.0,2013-09,3.32
bitcoin,2013-09-20,129.7,135.62,126.68,127.04,0.0,1489921944.0,2013-09,8.94
bitcoin,2013-09-21,126.95,128.61,126.24,127.43,0.0,1495101147.0,2013-09,2.37
bitcoin,2013-09-22,127.87,133.94,126.59,129.12,0.0,1515584736.0,2013-09,7.35
bitcoin,2013-09-23,128.98,132.73,125.66,125.95,0.0,1479037148.0,2013-09,7.07
bitcoin,2013-09-24,126.05,127.46,125.39,127.25,0.0,1494974356.0,2013-09,2.07
bitcoin,2013-09-25,127.38,129.69,127.33,128.22,0.0,1507033770.0,2013-09,2.36
bitcoin,2013-09-26,128.21,134.93,127.32,128.38,0.0,1509434269.0,2013-09,7.61
bitcoin,2013-09-27,128.94,134.74,128.49,133.78,0.0,1573520360.0,2013-09,6.25
bitcoin,2013-09-28,133.77,135.63,132.56,134.78,0.0,1585878762.0,2013-09,3.07
bitcoin,2013-09-29,134.9,140.61,134.71,137.34,0.0,1616584505.0,2013-09,5.9
bitcoin,2013-09-30,137.15,138.35,130.27,133.0,0.0,1566038425.0,2013-09,8.08
bitcoin,2013-10-01,132.68,134.63,131.55,132.18,0.0,1557001092.0,2013-10,3.08
bitcoin,2013-10-02,132.05,133.59,102.25,114.13,0.0,1344930746.0,2013-10,31.34
bitcoin,2013-10-03,114.45,123.63,111.82,123.63,0.0,1457492615.0,2013-10,11.81
bitcoin,2013-10-04,123.41,130.09,123.41,129.01,0.0,1521498787.0,2013-10,6.68
bitcoin,2013-10-05,128.63,130.44,128.03,128.55,0.0,1516777519.0,2013-10,2.41
bitcoin,2013-10-06,128.36,129.66,126.15,129.0,0.0,1522686975.0,2013-10,3.51
bitcoin,2013-10-07,129.43,130.27,126.36,126.94,0.0,1498859918.0,2013-10,3.91
bitcoin,2013-10-08,126.74,127.47,124.71,126.0,0.0,1488277350.0,2013-10,2.76
bitcoin,2013-10-09,125.85,131.75,125.58,130.69,0.0,1544249376.0,2013-10,6.17
bitcoin,2013-10-10,130.67,131.5,129.26,130.59,0.0,1543701125.0,2013-10,2.24
bitcoin,2013-10-11,130.75,131.81,129.64,130.9,0.0,1547971040.0,2013-10,2.17
bitcoin,2013-10-12,130.9,135.66,130.56,135.19,0.0,1599426131.0,2013-10,5.1
bitcoin,2013-10-13,135.19,138.66,134.55,138.13,0.0,1634968839.0,2013-10,4.11
bitcoin,2013-10-14,139.27,144.12,138.9,140.52,0.0,1664129178.0,2013-10,5.22
bitcoin,2013-10-15,140.77,145.39,139.13,145.24,0.0,1720981439.0,2013-10,6.26
bitcoin,2013-10-16,145.65,152.23,142.43,142.55,0.0,1689851848.0,2013-10,9.8
bitcoin,2013-10-17,142.41,147.42,142.41,146.25,0.0,1734327563.0,2013-10,5.01
bitcoin,2013-10-18,146.37,155.96,145.57,155.96,0.0,1850219763.0,2013-10,10.39
bitcoin,2013-10-19,155.91,177.48,155.7,172.42,0.0,2046457291.0,2013-10,21.78
bitcoin,2013-10-20,171.66,174.91,168.95,174.61,0.0,2073319140.0,2013-10,5.96
bitcoin,2013-10-21,174.8,184.82,174.8,182.21,0.0,2164518143.0,2013-10,10.02
bitcoin,2013-10-22,182.65,196.27,182.65,193.76,0.0,2302910260.0,2013-10,13.62
bitcoin,2013-10-23,193.36,213.62,192.38,213.62,0.0,2540139399.0,2013-10,21.24
bitcoin,2013-10-24,214.3,217.42,168.52,198.23,0.0,2358198593.0,2013-10,48.9
bitcoin,2013-10-25,197.69,198.87,168.5,186.69,0.0,2222012384.0,2013-10,30.37
bitcoin,2013-10-26,187.45,188.41,175.75,177.32,0.0,2111296044.0,2013-10,12.66
bitcoin,2013-10-27,176.6,196.44,176.6,196.44,0.0,2339831217.0,2013-10,19.84
bitcoin,2013-10-28,196.21,198.62,192.06,198.55,0.0,2365837416.0,2013-10,6.56
bitcoin,2013-10-29,198.55,204.79,198.55,204.39,0.0,2436241934.0,2013-10,6.24
bitcoin,2013-10-30,204.39,209.16,199.97,199.97,0.0,2384492273.0,2013-10,9.19
bitcoin,2013-10-31,199.83,205.18,198.85,204.0,0.0,2433658800.0,2013-10,6.33
bitcoin,2013-11-01,203.9,206.65,202.13,206.18,0.0,2460742837.0,2013-11,4.52
bitcoin,2013-11-02,205.81,207.76,201.65,206.22,0.0,2462261645.0,2013-11,6.11
bitcoin,2013-11-03,205.99,215.05,203.99,215.05,0.0,2568713111.0,2013-11,11.06
bitcoin,2013-11-04,214.66,231.01,213.94,229.1,0.0,2737659088.0,2013-11,17.07
bitcoin,2013-11-05,229.21,250.66,226.22,245.24,0.0,2931598960.0,2013-11,24.44
bitcoin,2013-11-06,244.78,263.0,244.78,262.5,0.0,3138994688.0,2013-11,18.22
bitcoin,2013-11-07,261.68,304.17,261.55,296.41,0.0,3545560087.0,2013-11,42.62
bitcoin,2013-11-08,297.85,338.66,296.93,338.11,0.0,4045494603.0,2013-11,41.73
bitcoin,2013-11-09,338.58,370.82,319.71,339.11,0.0,4058705857.0,2013-11,51.11
bitcoin,2013-11-10,348.82,350.7,277.24,326.62,0.0,3910613095.0,2013-11,73.46
bitcoin,2013-11-11,325.41,351.27,311.78,342.44,0.0,4101635027.0,2013-11,39.49
bitcoin,2013-11-12,343.06,362.81,342.8,360.33,0.0,4317726291.0,2013-11,20.01
bitcoin,2013-11-13,360.97,414.05,359.8,407.37,0.0,4883103453.0,2013-11,54.25
bitcoin,2013-11-14,406.41,425.9,395.19,420.2,0.0,5038817795.0,2013-11,30.71
bitcoin,2013-11-15,419.41,437.89,396.11,417.95,0.0,5013561020.0,2013-11,41.78
bitcoin,2013-11-16,417.28,450.26,415.57,440.22,0.0,5282849105.0,2013-11,34.69
bitcoin,2013-11-17,440.96,500.58,440.24,492.11,0.0,5907842064.0,2013-11,60.34
bitcoin,2013-11-18,496.58,703.78,494.94,703.56,0.0,8449069629.0,2013-11,208.84
bitcoin,2013-11-19,712.76,806.11,456.39,584.61,0.0,7022949161.0,2013-11,349.72
bitcoin,2013-11-20,577.98,599.65,448.45,590.83,0.0,7100077964.0,2013-11,151.2
bitcoin,2013-11-21,594.32,733.4,577.29,722.43,0.0,8684240726.0,2013-11,156.11
