Date,Unemployment Value ,US Dollar Index 
2013-01-01,8.0,79.77
2013-01-02,8.0,79.84
2013-01-03,8.0,80.38
2013-01-04,8.0,80.5
2013-01-05,8.0,80.5
2013-01-06,8.0,80.5
2013-01-07,8.0,80.26
2013-01-08,8.0,80.34
2013-01-09,8.0,80.56
2013-01-10,8.0,79.74
2013-01-11,8.0,79.56
2013-01-12,8.0,79.56
2013-01-13,8.0,79.56
2013-01-14,8.0,79.49
2013-01-15,8.0,79.78
2013-01-16,8.0,79.8
2013-01-17,8.0,79.65
2013-01-18,8.0,80.04
2013-01-19,8.0,80.04
2013-01-20,8.0,80.04
2013-01-21,8.0,80.04
2013-01-22,8.0,79.87
2013-01-23,8.0,79.92
2013-01-24,8.0,79.95
2013-01-25,8.0,79.75
2013-01-26,8.0,79.75
2013-01-27,8.0,79.75
2013-01-28,8.0,79.75
2013-01-29,8.0,79.56
2013-01-30,8.0,79.28
2013-01-31,8.0,79.21
2013-02-01,7.7,79.21
2013-02-02,7.7,79.21
2013-02-03,7.7,79.21
2013-02-04,7.7,79.55
2013-02-05,7.7,79.49
2013-02-06,7.7,79.72
2013-02-07,7.7,80.19
2013-02-08,7.7,80.21
2013-02-09,7.7,80.21
2013-02-10,7.7,80.21
2013-02-11,7.7,80.31
2013-02-12,7.7,80.11
2013-02-13,7.7,80.09
2013-02-14,7.7,80.46
2013-02-15,7.7,80.58
2013-02-16,7.7,80.58
2013-02-17,7.7,80.58
2013-02-18,7.7,80.58
2013-02-19,7.7,80.47
2013-02-20,7.7,81.07
2013-02-21,7.7,81.46
2013-02-22,7.7,81.46
2013-02-23,7.7,81.46
2013-02-24,7.7,81.46
2013-02-25,7.7,81.67
2013-02-26,7.7,81.87
2013-02-27,7.7,81.6
2013-02-28,7.7,81.95
2013-03-01,7.5,82.28
2013-03-02,7.5,82.28
2013-03-03,7.5,82.28
2013-03-04,7.5,82.19
2013-03-05,7.5,82.09
2013-03-06,7.5,82.46
2013-03-07,7.5,82.08
2013-03-08,7.5,82.72
2013-03-09,7.5,82.72
2013-03-10,7.5,82.72
2013-03-11,7.5,82.57
2013-03-12,7.5,82.58
2013-03-13,7.5,82.89
2013-03-14,7.5,82.61
2013-03-15,7.5,82.13
2013-03-16,7.5,82.13
2013-03-17,7.5,82.13
2013-03-18,7.5,82.69
2013-03-19,7.5,82.99
2013-03-20,7.5,82.78
2013-03-21,7.5,82.74
2013-03-22,7.5,82.53
2013-03-23,7.5,82.53
2013-03-24,7.5,82.53
2013-03-25,7.5,82.83
2013-03-26,7.5,82.88
2013-03-27,7.5,83.22
2013-03-28,7.5,82.99
2013-03-29,7.5,83.22
2013-03-30,7.5,83.22
2013-03-31,7.5,83.22
2013-04-01,7.6,82.73
2013-04-02,7.6,82.92
2013-04-03,7.6,82.72
2013-04-04,7.6,82.68
2013-04-05,7.6,82.5
2013-04-06,7.6,82.5
2013-04-07,7.6,82.5
2013-04-08,7.6,82.75
2013-04-09,7.6,82.31
2013-04-10,7.6,82.53
2013-04-11,7.6,82.25
2013-04-12,7.6,82.13
2013-04-13,7.6,82.13
2013-04-14,7.6,82.13
2013-04-15,7.6,82.42
2013-04-16,7.6,81.75
2013-04-17,7.6,82.68
2013-04-18,7.6,82.56
2013-04-19,7.6,82.71
2013-04-20,7.6,82.71
2013-04-21,7.6,82.71
2013-04-22,7.6,82.68
2013-04-23,7.6,83.05
2013-04-24,7.6,83.05
2013-04-25,7.6,82.74
2013-04-26,7.6,82.47
2013-04-27,7.6,82.47
2013-04-28,7.6,82.47
2013-04-29,7.6,82.15
2013-04-30,7.6,81.75
2013-05-01,7.5,81.48
2013-05-02,7.5,82.22
2013-05-03,7.5,82.1
2013-05-04,7.5,82.1
2013-05-05,7.5,82.1
2013-05-06,7.5,82.31
2013-05-07,7.5,82.25
2013-05-08,7.5,81.9
2013-05-09,7.5,82.79
2013-05-10,7.5,83.14
2013-05-11,7.5,83.14
2013-05-12,7.5,83.14
2013-05-13,7.5,83.28
2013-05-14,7.5,83.59
2013-05-15,7.5,83.83
2013-05-16,7.5,83.59
2013-05-17,7.5,84.25
2013-05-18,7.5,84.25
2013-05-19,7.5,84.25
2013-05-20,7.5,83.74
2013-05-21,7.5,83.86
2013-05-22,7.5,84.35
2013-05-23,7.5,83.8
2013-05-24,7.5,83.7
2013-05-25,7.5,83.7
2013-05-26,7.5,83.7
2013-05-27,7.5,83.7
2013-05-28,7.5,84.1
2013-05-29,7.5,83.66
2013-05-30,7.5,83.04
2013-05-31,7.5,83.26
2013-06-01,7.5,83.26
2013-06-02,7.5,83.26
2013-06-03,7.5,82.66
2013-06-04,7.5,82.77
2013-06-05,7.5,82.59
2013-06-06,7.5,81.54
2013-06-07,7.5,81.67
2013-06-08,7.5,81.67
2013-06-09,7.5,81.67
2013-06-10,7.5,81.65
2013-06-11,7.5,81.11
2013-06-12,7.5,80.95
2013-06-13,7.5,80.75
2013-06-14,7.5,80.62
2013-06-15,7.5,80.62
2013-06-16,7.5,80.62
2013-06-17,7.5,80.79
2013-06-18,7.5,80.61
2013-06-19,7.5,81.43
2013-06-20,7.5,81.92
2013-06-21,7.5,82.41
2013-06-22,7.5,82.41
2013-06-23,7.5,82.41
2013-06-24,7.5,82.42
2013-06-25,7.5,82.58
2013-06-26,7.5,82.98
2013-06-27,7.5,82.9
2013-06-28,7.5,83.14
