,Date,Open,High,Low,Close,Volume,Market_Cap,Spread,Month_Year,Unemployment_Percentage,USDI,Y_Average,DOW_Close,NASDAQ_Close,SP500_Close,Average_Close
176,2013-10-21,174.8,184.82,174.8,182.21,0.0,2164518143.0,10.02,2013-10,7.2,79.69,179.15750000000003,15392.2002,3920.0500490000004,1744.660034,7018.970094333334
177,2013-10-22,182.65,196.27,182.65,193.76,0.0,2302910260.0,13.62,2013-10,7.2,79.23,188.8325,15467.66016,3929.570068,1754.6700440000002,7050.633424
178,2013-10-23,193.36,213.62,192.38,213.62,0.0,2540139399.0,21.24,2013-10,7.2,79.26,203.245,15413.330080000002,3907.070068,1746.380005,7022.260051
179,2013-10-24,214.3,217.42,168.52,198.23,0.0,2358198593.0,48.9,2013-10,7.2,79.19,199.6175,15509.20996,3928.959961,1752.069946,7063.413289
180,2013-10-25,197.69,198.87,168.5,186.69,0.0,2222012384.0,30.37,2013-10,7.2,79.19,187.9375,15570.28027,3943.360107,1759.77002,7091.136799
183,2013-10-28,196.21,198.62,192.06,198.55,0.0,2365837416.0,6.56,2013-10,7.2,79.25,196.36,15568.92969,3940.1298829999996,1762.109985,7090.389852666666
184,2013-10-29,198.55,204.79,198.55,204.39,0.0,2436241934.0,6.24,2013-10,7.2,79.61,201.57000000000002,15680.34961,3952.3400880000004,1771.949951,7134.879882999999
185,2013-10-30,204.39,209.16,199.97,199.97,0.0,2384492273.0,9.19,2013-10,7.2,79.78,203.3725,15618.759769999999,3930.6201170000004,1763.310059,7104.229982
186,2013-10-31,199.83,205.18,198.85,204.0,0.0,2433658800.0,6.33,2013-10,7.2,80.19,201.965,15545.75,3919.709961,1756.540039,7074.0
187,2013-11-01,203.9,206.65,202.13,206.18,0.0,2460742837.0,4.52,2013-11,6.9,80.72,204.71500000000003,15615.549809999999,3922.040039,1761.640015,7099.743288000001
190,2013-11-04,214.66,231.01,213.94,229.1,0.0,2737659088.0,17.07,2013-11,6.9,80.55,222.17749999999998,15639.12012,3936.5900880000004,1767.930054,7114.546754
191,2013-11-05,229.21,250.66,226.22,245.24,0.0,2931598960.0,24.44,2013-11,6.9,80.71,237.8325,15618.21973,3939.860107,1762.969971,7107.016602666667
192,2013-11-06,244.78,263.0,244.78,262.5,0.0,3138994688.0,18.22,2013-11,6.9,80.48,253.765,15746.87988,3931.9499509999996,1770.4899899999998,7149.773273666666
193,2013-11-07,261.68,304.17,261.55,296.41,0.0,3545560087.0,42.62,2013-11,6.9,80.84,280.95250000000004,15593.980469999999,3857.330078,1747.1500239999998,7066.1535239999985
194,2013-11-08,297.85,338.66,296.93,338.11,0.0,4045494603.0,41.73,2013-11,6.9,81.3,317.88750000000005,15761.78027,3919.2299799999996,1770.609985,7150.5400783333325
197,2013-11-11,325.41,351.27,311.78,342.44,0.0,4101635027.0,39.49,2013-11,6.9,81.09,332.725,15783.09961,3919.790039,1771.890015,7158.2598880000005
198,2013-11-12,343.06,362.81,342.8,360.33,0.0,4317726291.0,20.01,2013-11,6.9,81.19,352.25,15750.669919999998,3919.919922,1767.689941,7146.093260999999
199,2013-11-13,360.97,414.05,359.8,407.37,0.0,4883103453.0,54.25,2013-11,6.9,80.93,385.5475,15821.62988,3965.580078,1782.0,7189.7366526666665
200,2013-11-14,406.41,425.9,395.19,420.2,0.0,5038817795.0,30.71,2013-11,6.9,81.02,411.925,15876.21973,3972.73999,1790.619995,7213.193238333333
201,2013-11-15,419.41,437.89,396.11,417.95,0.0,5013561020.0,41.78,2013-11,6.9,80.85,417.84,15961.7002,3985.969971,1798.180054,7248.616741666666
204,2013-11-18,496.58,703.78,494.94,703.56,0.0,8449069629.0,208.84,2013-11,6.9,80.83,599.7149999999999,15976.019530000001,3949.070068,1791.530029,7238.873209000001
