,Date,Income,month,month_year
0,1/1/2013,38891,1,2013-01
1,2/1/2013,38679,2,2013-02
2,3/1/2013,38720,3,2013-03
3,4/1/2013,38853,4,2013-04
4,5/1/2013,39054,5,2013-05
5,6/1/2013,39071,6,2013-06
6,7/1/2013,39004,7,2013-07
7,8/1/2013,39063,8,2013-08
8,9/1/2013,39194,9,2013-09
9,10/1/2013,39064,10,2013-10
10,11/1/2013,39165,11,2013-11
11,12/1/2013,39265,12,2013-12
12,1/1/2014,39432,1,2014-01
13,2/1/2014,39655,2,2014-02
14,3/1/2014,39851,3,2014-03
15,4/1/2014,39979,4,2014-04
16,5/1/2014,40108,5,2014-05
17,6/1/2014,40269,6,2014-06
18,7/1/2014,40367,7,2014-07
19,8/1/2014,40528,8,2014-08
20,9/1/2014,40624,9,2014-09
21,10/1/2014,40769,10,2014-10
22,11/1/2014,40941,11,2014-11
23,12/1/2014,41171,12,2014-12
24,1/1/2015,41456,1,2015-01
25,2/1/2015,41596,2,2015-02
26,3/1/2015,41457,3,2015-03
27,4/1/2015,41517,4,2015-04
28,5/1/2015,41565,5,2015-05
29,6/1/2015,41581,6,2015-06
30,7/1/2015,41678,7,2015-07
31,8/1/2015,41759,8,2015-08
32,9/1/2015,41845,9,2015-09
33,10/1/2015,41889,10,2015-10
34,11/1/2015,41847,11,2015-11
35,12/1/2015,42018,12,2015-12
36,1/1/2016,42149,1,2016-01
37,2/1/2016,42177,2,2016-02
38,3/1/2016,42189,3,2016-03
39,4/1/2016,42107,4,2016-04
40,5/1/2016,42064,5,2016-05
41,6/1/2016,42058,6,2016-06
42,7/1/2016,42163,7,2016-07
43,8/1/2016,42166,8,2016-08
44,9/1/2016,42263,9,2016-09
45,10/1/2016,42326,10,2016-10
46,11/1/2016,42388,11,2016-11
47,12/1/2016,42440,12,2016-12
48,1/1/2017,42622,1,2017-01
49,2/1/2017,42759,2,2017-02
50,3/1/2017,42947,3,2017-03
51,4/1/2017,43004,4,2017-04
52,5/1/2017,43268,5,2017-05
53,6/1/2017,43257,6,2017-06
54,7/1/2017,43355,7,2017-07
55,8/1/2017,43391,8,2017-08
56,9/1/2017,43452,9,2017-09
57,10/1/2017,43545,10,2017-10
58,11/1/2017,43571,11,2017-11
59,12/1/2017,43628,12,2017-12
60,1/1/2018,43967,1,2018-01
61,2/1/2018,44065,2,2018-02
62,3/1/2018,44229,3,2018-03
63,4/1/2018,44314,4,2018-04
64,5/1/2018,44421,5,2018-05
65,6/1/2018,44538,6,2018-06
66,7/1/2018,44678,7,2018-07
67,8/1/2018,44777,8,2018-08
68,9/1/2018,44720,9,2018-09
69,10/1/2018,44799,10,2018-10
70,11/1/2018,44837,11,2018-11
71,12/1/2018,45274,12,2018-12
72,1/1/2019,45271,1,2019-01
73,2/1/2019,45328,2,2019-02
74,3/1/2019,45288,3,2019-03
75,4/1/2019,45155,4,2019-04
76,5/1/2019,45114,5,2019-05
77,6/1/2019,45148,6,2019-06
78,7/1/2019,45168,7,2019-07
79,8/1/2019,45364,8,2019-08
80,9/1/2019,45405,9,2019-09
81,10/1/2019,45391,10,2019-10
82,11/1/2019,45558,11,2019-11
83,12/1/2019,45428,12,2019-12
84,1/1/2020,45747,1,2020-01
85,2/1/2020,46013,2,2020-02
86,3/1/2020,45351,3,2020-03
87,4/1/2020,52339,4,2020-04
88,5/1/2020,49707,5,2020-05
89,6/1/2020,48693,6,2020-06
90,7/1/2020,48651,7,2020-07
91,8/1/2020,46925,8,2020-08
